epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2847.51,0.5852,0.31475,0.86466,0.9861,0.98909,0.99467,0.86169,0.5685,0.27244,0.83749,0.000270064,0.000270064,0.000270064
73,2878.44,0.58151,0.31094,0.86247,0.9842,0.99144,0.99488,0.86081,0.57425,0.27091,0.83843,0.000261065,0.000261065,0.000261065
74,2909.15,0.58184,0.3112,0.86572,0.98268,0.99004,0.99433,0.85934,0.55589,0.27202,0.83504,0.000252066,0.000252066,0.000252066
75,2964.26,0.57106,0.31088,0.86189,0.98824,0.99187,0.99482,0.86028,0.55576,0.27582,0.83568,0.000243067,0.000243067,0.000243067
76,3036.45,0.57546,0.30714,0.86049,0.99215,0.98955,0.99485,0.86286,0.56148,0.27417,0.83724,0.000234068,0.000234068,0.000234068
77,3104.54,0.57073,0.30571,0.86279,0.98804,0.98883,0.99282,0.85918,0.55619,0.27057,0.83541,0.000225068,0.000225068,0.000225068
78,3175.73,0.56896,0.30459,0.8615,0.98895,0.98783,0.99483,0.86422,0.54842,0.26342,0.83311,0.000216069,0.000216069,0.000216069
79,3245.18,0.56137,0.30007,0.85694,0.98961,0.99081,0.99429,0.86714,0.5452,0.26353,0.83097,0.00020707,0.00020707,0.00020707
80,3309.61,0.55658,0.29771,0.85976,0.98806,0.99012,0.9941,0.86121,0.54401,0.26118,0.83155,0.000198071,0.000198071,0.000198071
81,3379.86,0.5507,0.29587,0.8575,0.99169,0.99182,0.99417,0.86886,0.53185,0.26473,0.82964,0.000189072,0.000189072,0.000189072
82,3450.04,0.55164,0.29509,0.85649,0.9915,0.99233,0.99493,0.87096,0.53476,0.25891,0.82996,0.000180073,0.000180073,0.000180073
83,3514.77,0.5475,0.2955,0.85375,0.98833,0.98867,0.99477,0.87391,0.52424,0.25891,0.82784,0.000171074,0.000171074,0.000171074
84,3565.69,0.54828,0.29236,0.85556,0.99464,0.9929,0.99493,0.86476,0.5366,0.26008,0.83136,0.000162075,0.000162075,0.000162075
85,3598.43,0.53671,0.2899,0.85315,0.98994,0.99343,0.99496,0.8638,0.53244,0.26005,0.83089,0.000153076,0.000153076,0.000153076
86,3631.02,0.53486,0.28615,0.85001,0.99011,0.99227,0.99416,0.87159,0.52352,0.25309,0.82905,0.000144077,0.000144077,0.000144077
87,3663.78,0.53252,0.28774,0.84897,0.99249,0.99226,0.99495,0.87223,0.52578,0.25679,0.82879,0.000135077,0.000135077,0.000135077
88,3698.48,0.53141,0.28699,0.84882,0.99394,0.99223,0.99363,0.87711,0.51416,0.25279,0.82558,0.000126078,0.000126078,0.000126078
89,3731.26,0.52885,0.28482,0.8494,0.99048,0.99111,0.99355,0.87378,0.51857,0.2522,0.82862,0.000117079,0.000117079,0.000117079
90,3763.76,0.52323,0.28209,0.84945,0.99744,0.99227,0.99427,0.87664,0.51805,0.25124,0.82775,0.00010808,0.00010808,0.00010808
91,3796.68,0.53404,0.27028,0.84058,0.98971,0.99285,0.99497,0.86457,0.52492,0.25742,0.82753,9.9081e-05,9.9081e-05,9.9081e-05
92,3829.18,0.52326,0.26141,0.83355,0.98911,0.99155,0.99423,0.87539,0.51099,0.25597,0.82594,9.00819e-05,9.00819e-05,9.00819e-05
93,3861.49,0.51601,0.26138,0.83739,0.99195,0.99169,0.99422,0.87576,0.50819,0.251,0.82429,8.10828e-05,8.10828e-05,8.10828e-05
94,3894.05,0.51172,0.2578,0.83314,0.99332,0.9931,0.99497,0.8801,0.49894,0.24911,0.82087,7.20837e-05,7.20837e-05,7.20837e-05
95,3926.34,0.50345,0.2533,0.83019,0.98943,0.99176,0.994,0.8826,0.49367,0.24623,0.82031,6.30846e-05,6.30846e-05,6.30846e-05
96,3961.63,0.4978,0.25279,0.82901,0.99133,0.99343,0.99497,0.88275,0.49262,0.24484,0.82048,5.40855e-05,5.40855e-05,5.40855e-05
97,3998.68,0.49803,0.25133,0.83188,0.98981,0.99228,0.99389,0.88278,0.49412,0.24642,0.82081,4.50864e-05,4.50864e-05,4.50864e-05
98,4033.83,0.4915,0.24979,0.82686,0.98923,0.99228,0.99379,0.88543,0.48936,0.24295,0.81981,3.60873e-05,3.60873e-05,3.60873e-05
99,4066.8,0.48207,0.24762,0.82661,0.99104,0.99343,0.99497,0.88498,0.48843,0.24229,0.81891,2.70882e-05,2.70882e-05,2.70882e-05
100,4099.6,0.48466,0.24642,0.82588,0.99098,0.99343,0.99497,0.88885,0.47924,0.24019,0.8178,1.80891e-05,1.80891e-05,1.80891e-05
